Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9882629107981221,0.986013986013986,0.9888888888888889,0.9888888888888889,0.9888888888888889
Decision Tree,1.0,0.9230769230769231,0.9540229885057471,0.9222222222222223,0.9378531073446328
Random Forest,1.0,0.958041958041958,0.9565217391304348,0.9777777777777777,0.967032967032967
SVM,0.9788732394366197,0.9790209790209791,0.9887640449438202,0.9777777777777777,0.9832402234636871
